Order ID,Customer Name,Category,Sub Category,Cities,Order Date,Region,Sales,Discount,Profit,States,Postal Code
OD17,Alan,Bakery,Cakes,Birmingham,11/11/2015,South,1678,0.28,318.82,South Dakota,SD
OD18,Arutra,Beverages,Health Drinks,Minneapolis,5/13/2015,Midwest,1617,0.19,113.19,Utah,UT
OD19,Haseena,"Eggs, Meat & Fish",Mutton,Kansas City,8/27/2015,Midwest,1757,0.35,386.54,New Mexico,NM
OD20,Verma,Beverages,Soft Drinks,Little Rock,8/27/2015,South,692,0.29,159.16,Colorado,CO
OD21,Hafiz,Beverages,Health Drinks,New Orleans,8/27/2015,South,522,0.19,208.8,Alabama,AL
OD22,Alan,Food Grains,Cereals,Boston,12/09/2017,Northeast,948,0.13,47.4,Nebraska,NE
OD23,Haseena,Beverages,Soft Drinks,Baltimore,12/09/2017,South,707,0.34,148.47,Florida,FL
OD24,Alan,Fruits & Veggies,Organic Vegetables,Atlanta,7/16/2018,South,969,0.29,77.52,California,CA
OD25,Sharon,"Eggs, Meat & Fish",Eggs,Anchorage,9/25/2016,West,1100,0.11,495,Mississippi,MS
OD26,Krithika,Snacks,Chocolates,Louisville,1/16/2017,South,2022,0.11,202.2,Wisconsin,WI
OD27,Muneer,Snacks,Cookies,Chicago,1/16/2017,Midwest,541,0.12,43.28,Alaska,AK
OD28,Jackson,Bakery,Biscuits,Des Moines,9/17/2016,Midwest,979,0.22,401.39,Kansas,KS
OD29,Veronica,Beverages,Soft Drinks,Wilmington,9/17/2016,South,1988,0.22,874.72,Montana,MT
OD30,Shah,Oil & Masala,Masalas,Jackson,9/17/2016,South,989,0.17,69.23,Missouri,MO
OD31,Ramesh,Beverages,Soft Drinks,Indianapolis,9/17/2016,Midwest,1845,0.24,166.05,Idaho,ID
OD32,Mathew,Snacks,Noodles,Phoenix,9/17/2016,West,1400,0.11,420,Minnesota,MN
OD33,Akash,Oil & Masala,Edible Oil & Ghee,Denver,9/17/2016,West,2163,0.26,670.53,Vermont,VT
OD34,Anu,Oil & Masala,Masalas,Los Angeles,9/17/2016,West,1689,0.34,337.8,Louisiana,LA
OD35,Anu,Beverages,Health Drinks,Portland,10/19/2018,Northeast,809,0.32,80.9,Virginia,VA
OD36,Sabeela,"Eggs, Meat & Fish",Eggs,Wichita,12/08/2017,West,1265,0.22,569.25,Wyoming,WY
OD37,James,Beverages,Soft Drinks,Miami,12/08/2017,South,934,0.35,56.04,Georgia,GA
OD38,Willams,Fruits & Veggies,Organic Vegetables,Detroit,12/27/2016,Midwest,1354,0.16,446.82,Nevada,NV
OD39,Jonas,Fruits & Veggies,Fresh Fruits,Hartford,12/27/2016,Northeast,1751,0.19,280.16,Oregon,OR
OD40,Sabeela,"Eggs, Meat & Fish",Chicken,Honolulu,12/27/2016,West,2045,0.23,879.35,Arkansas,AR
OD41,Malik,Beverages,Health Drinks,Boise,12/27/2016,West,660,0.19,92.4,West Virginia,WV
OD42,Arutra,Beverages,Soft Drinks,Birmingham,09/10/2018,South,1868,0.18,616.44,Kentucky,KY
OD43,Sharon,Snacks,Cookies,Minneapolis,7/17/2017,Midwest,1017,0.25,345.78,Illinois,IL
OD44,Mathew,Snacks,Cookies,Kansas City,9/19/2018,Midwest,2311,0.2,1039.95,Pennsylvania,PA
OD45,Amrish,Bakery,Biscuits,Little Rock,03/11/2017,South,1663,0.17,731.72,Connecticut,CT
OD46,Vince,"Eggs, Meat & Fish",Eggs,New Orleans,03/11/2017,South,1420,0.19,355,Tennessee,TN
OD47,Suresh,Fruits & Veggies,Organic Vegetables,Boston,10/20/2015,Northeast,1415,0.31,509.4,Michigan,MI
OD48,Mathew,Snacks,Noodles,Baltimore,6/20/2017,South,1488,0.3,610.08,Maryland,MD
OD49,Ridhesh,Snacks,Noodles,Atlanta,6/20/2017,South,726,0.18,43.56,Iowa,IA
OD50,Amrish,Bakery,Cakes,Anchorage,4/18/2016,West,1259,0.15,415.47,New Jersey,NJ
OD51,Esther,Beverages,Soft Drinks,Louisville,4/18/2016,South,902,0.29,153.34,New Hampshire,NH
OD52,Shah,Beverages,Soft Drinks,Chicago,4/18/2016,Midwest,2306,0.3,553.44,Rhode Island,RI
OD53,Sudha,Bakery,Cakes,Des Moines,4/18/2016,Midwest,1417,0.19,99.19,Maine,ME
OD54,Yusuf,Fruits & Veggies,Fresh Vegetables,Wilmington,12/11/2017,South,627,0.33,181.83,North Carolina,NC
OD55,Esther,Fruits & Veggies,Organic Fruits,Jackson,12/11/2017,South,760,0.28,60.8,Oklahoma,OK
OD56,Muneer,Food Grains,Flour,Indianapolis,6/17/2017,Midwest,2350,0.15,611,Washington,WA
OD57,Komal,"Eggs, Meat & Fish",Fish,Phoenix,6/17/2017,West,1179,0.34,271.17,South Carolina,SC
OD58,Veena,Food Grains,Cereals,Denver,6/17/2017,West,1624,0.35,194.88,Hawaii,HI
OD59,Sharon,"Eggs, Meat & Fish",Mutton,Los Angeles,6/17/2017,West,1316,0.35,421.12,New York,NY
OD60,Shree,Beverages,Health Drinks,Portland,6/17/2017,Northeast,2121,0.12,678.72,Arizona,AZ
OD61,Roshan,Oil & Masala,Masalas,Wichita,6/17/2017,West,1428,0.28,271.32,North Dakota,ND
OD62,Willams,Snacks,Noodles,Miami,6/17/2017,South,706,0.33,289.46,Delaware,DE
OD63,Sudeep,"Eggs, Meat & Fish",Fish,Detroit,11/24/2016,Midwest,921,0.25,184.2,Texas,TX
OD64,Yusuf,Fruits & Veggies,Fresh Fruits,Hartford,11/24/2016,Northeast,1741,0.31,661.58,Indiana,IN
OD65,Willams,"Eggs, Meat & Fish",Eggs,Honolulu,11/24/2016,West,607,0.22,200.31,Massachusetts,MA
OD66,Muneer,"Eggs, Meat & Fish",Mutton,Boise,11/24/2016,West,1824,0.25,766.08,Ohio,OH
OD67,Vinne,Food Grains,Flour,Birmingham,4/30/2016,South,1368,0.11,383.04,South Dakota,SD
OD68,Roshan,Fruits & Veggies,Fresh Vegetables,Minneapolis,12/05/2015,Midwest,1160,0.16,510.4,Utah,UT
OD69,Ramesh,Food Grains,Flour,Kansas City,12/05/2015,Midwest,1294,0.23,77.64,New Mexico,NM
OD70,Peer,Oil & Masala,Masalas,Little Rock,06/04/2017,South,1232,0.14,554.4,Colorado,CO
OD71,Verma,"Eggs, Meat & Fish",Mutton,New Orleans,9/18/2017,South,994,0.31,357.84,Alabama,AL
OD72,Yusuf,Snacks,Noodles,Boston,9/14/2018,Northeast,2468,0.18,1011.88,Nebraska,NE
OD73,Alan,Snacks,Cookies,Baltimore,4/26/2016,South,721,0.27,100.94,Florida,FL
OD74,Vidya,Fruits & Veggies,Organic Vegetables,Atlanta,4/26/2016,South,2375,0.21,475,California,CA
OD75,Arvind,Beverages,Soft Drinks,Anchorage,4/26/2016,West,1965,0.13,117.9,Mississippi,MS
OD76,Veronica,Beverages,Soft Drinks,Louisville,12/09/2018,South,1489,0.12,193.57,Wisconsin,WI
OD77,Arvind,Fruits & Veggies,Organic Fruits,Chicago,12/09/2018,Midwest,1250,0.27,75,Alaska,AK
OD78,Anu,Snacks,Noodles,Des Moines,12/09/2018,Midwest,1358,0.31,488.88,Kansas,KS
OD79,Haseena,Snacks,Cookies,Wilmington,11/26/2015,South,719,0.2,64.71,Montana,MT
OD80,Veena,Fruits & Veggies,Organic Fruits,Jackson,06/12/2017,South,2303,0.26,621.81,Missouri,MO
OD81,Kumar,Beverages,Health Drinks,Indianapolis,06/12/2017,Midwest,2027,0.34,912.15,Idaho,ID
OD82,Amy,Food Grains,Flour,Phoenix,10/12/2015,West,1739,0.29,765.16,Minnesota,MN
OD83,Komal,Oil & Masala,Spices,Denver,10/12/2015,West,990,0.26,227.7,Vermont,VT
OD84,Ravi,Beverages,Soft Drinks,Los Angeles,09/03/2016,West,2354,0.11,682.66,Louisiana,LA
OD85,Amy,Fruits & Veggies,Organic Fruits,Portland,11/13/2018,Northeast,1044,0.1,344.52,Virginia,VA
OD86,Willams,Oil & Masala,Spices,Wichita,5/28/2018,West,2129,0.25,659.99,Wyoming,WY
OD87,Sharon,Food Grains,Rice,Miami,10/26/2018,South,1759,0.1,615.65,Georgia,GA
OD88,Ramesh,"Eggs, Meat & Fish",Eggs,Detroit,10/26/2018,Midwest,1663,0.26,665.2,Nevada,NV
OD89,Sheeba,Bakery,Breads & Buns,Hartford,04/05/2017,Northeast,2111,0.21,189.99,Oregon,OR
OD90,Krithika,Food Grains,Cereals,Honolulu,9/17/2017,West,1878,0.12,450.72,Arkansas,AR
OD91,Willams,"Eggs, Meat & Fish",Chicken,Boise,9/17/2017,West,769,0.34,46.14,West Virginia,WV
OD92,Roshan,Beverages,Health Drinks,Birmingham,9/17/2017,South,1241,0.14,409.53,Kentucky,KY
OD93,Ravi,Food Grains,Flour,Minneapolis,1/31/2016,Midwest,2128,0.14,383.04,Illinois,IL
OD94,Ram,Fruits & Veggies,Fresh Fruits,Kansas City,1/31/2016,Midwest,2257,0.33,270.84,Pennsylvania,PA
OD95,Mathew,Snacks,Chocolates,Little Rock,1/31/2016,South,1285,0.28,218.45,Connecticut,CT
OD96,Veena,"Eggs, Meat & Fish",Fish,New Orleans,11/06/2018,South,1230,0.13,442.8,Tennessee,TN
OD97,Sudha,Food Grains,Flour,Boston,11/09/2018,Northeast,1856,0.21,723.84,Michigan,MI
OD98,Sharon,Fruits & Veggies,Fresh Fruits,Baltimore,6/17/2018,South,545,0.31,125.35,Maryland,MD
OD99,Vince,Snacks,Chocolates,Atlanta,09/06/2017,South,2301,0.28,391.17,Iowa,IA
OD100,Krithika,Oil & Masala,Spices,Anchorage,8/29/2017,West,1475,0.26,531,New Jersey,NJ
OD101,Adavan,Bakery,Cakes,Louisville,8/29/2017,South,2118,0.35,910.74,New Hampshire,NH
OD102,Roshan,Beverages,Soft Drinks,Chicago,8/29/2017,Midwest,1527,0.17,671.88,Rhode Island,RI
OD103,Vinne,Snacks,Chocolates,Des Moines,12/01/2017,Midwest,567,0.18,175.77,Maine,ME
OD104,Amy,Fruits & Veggies,Fresh Fruits,Wilmington,11/13/2016,South,969,0.27,184.11,North Carolina,NC
OD105,Suresh,Food Grains,Cereals,Jackson,11/13/2016,South,2300,0.14,1035,Oklahoma,OK
OD106,Komal,Oil & Masala,Masalas,Indianapolis,11/13/2016,Midwest,1575,0.33,78.75,Washington,WA
OD107,Sundar,Beverages,Health Drinks,Phoenix,11/23/2018,West,540,0.12,108,South Carolina,SC
OD108,Willams,Snacks,Cookies,Denver,11/23/2018,West,536,0.34,176.88,Hawaii,HI
OD109,Vidya,"Eggs, Meat & Fish",Eggs,Los Angeles,11/23/2018,West,556,0.21,155.68,New York,NY
OD110,Shree,Fruits & Veggies,Fresh Fruits,Portland,10/15/2016,Northeast,1179,0.16,271.17,Arizona,AZ
OD111,Sundar,Food Grains,Cereals,Wichita,12/25/2018,West,1487,0.12,505.58,North Dakota,ND
OD112,Arvind,Bakery,Breads & Buns,Miami,11/03/2017,South,2220,0.1,111,Delaware,DE
OD113,Ravi,Oil & Masala,Edible Oil & Ghee,Detroit,11/03/2017,Midwest,2155,0.3,581.85,Texas,TX
OD114,Vinne,Fruits & Veggies,Fresh Vegetables,Hartford,8/25/2015,Northeast,1154,0.1,69.24,Indiana,IN
OD115,Muneer,Snacks,Noodles,Honolulu,8/25/2015,West,2420,0.11,242,Massachusetts,MA
OD116,Rumaiza,Snacks,Chocolates,Boise,8/25/2015,West,1305,0.24,287.1,Ohio,OH
OD117,Hussain,Fruits & Veggies,Organic Fruits,Birmingham,8/25/2015,South,927,0.2,157.59,South Dakota,SD
OD118,Arvind,Fruits & Veggies,Organic Vegetables,Minneapolis,03/02/2016,Midwest,983,0.11,186.77,Utah,UT
OD119,Akash,Food Grains,Rice,Kansas City,04/05/2016,Midwest,903,0.1,90.3,New Mexico,NM
OD120,Ganesh,"Eggs, Meat & Fish",Chicken,Little Rock,06/12/2017,South,1235,0.12,74.1,Colorado,CO
OD121,Alan,Fruits & Veggies,Organic Vegetables,New Orleans,06/12/2017,South,1243,0.24,174.02,Alabama,AL
OD122,Harish,Bakery,Cakes,Boston,06/12/2017,Northeast,649,0.34,201.19,Nebraska,NE
OD123,Veronica,"Eggs, Meat & Fish",Mutton,Baltimore,06/12/2017,South,2354,0.11,188.32,Florida,FL
OD124,Anu,Beverages,Soft Drinks,Atlanta,06/12/2017,South,1443,0.27,187.59,California,CA
OD125,Sudeep,Bakery,Breads & Buns,Anchorage,12/26/2015,West,975,0.26,390,Mississippi,MS
OD126,Yusuf,Fruits & Veggies,Organic Vegetables,Louisville,9/20/2015,South,889,0.19,71.12,Wisconsin,WI
OD127,Shah,"Eggs, Meat & Fish",Mutton,Chicago,11/05/2018,Midwest,2352,0.17,870.24,Alaska,AK
OD128,Harish,Oil & Masala,Spices,Des Moines,11/05/2018,Midwest,1293,0.23,336.18,Kansas,KS
OD129,Sharon,Food Grains,Rice,Wilmington,11/06/2017,South,1458,0.29,597.78,Montana,MT
OD130,Peer,Food Grains,Flour,Jackson,11/06/2017,South,1801,0.22,126.07,Missouri,MO
OD131,Haseena,Snacks,Chocolates,Indianapolis,02/02/2018,Midwest,1261,0.29,416.13,Idaho,ID
OD132,Sundar,Beverages,Soft Drinks,Phoenix,02/02/2018,West,2112,0.28,105.6,Minnesota,MN
OD133,Ram,"Eggs, Meat & Fish",Fish,Denver,02/02/2018,West,640,0.24,140.8,Vermont,VT
OD134,Shah,Bakery,Cakes,Los Angeles,10/13/2017,West,1658,0.12,315.02,Louisiana,LA
OD135,Harish,Beverages,Health Drinks,Portland,10/13/2017,Northeast,2373,0.18,664.44,Virginia,VA
OD136,Veena,Fruits & Veggies,Organic Fruits,Wichita,10/13/2017,West,1430,0.19,514.8,Wyoming,WY
OD137,Sundar,Oil & Masala,Spices,Miami,10/13/2017,South,1873,0.3,674.28,Georgia,GA
OD138,Jackson,"Eggs, Meat & Fish",Eggs,Detroit,10/13/2017,Midwest,867,0.14,329.46,Nevada,NV
OD139,Malik,Snacks,Noodles,Hartford,10/13/2017,Northeast,1101,0.19,484.44,Oregon,OR
OD140,Hussain,"Eggs, Meat & Fish",Mutton,Honolulu,10/13/2017,West,1088,0.28,424.32,Arkansas,AR
OD141,Veena,Bakery,Biscuits,Boise,09/05/2017,West,866,0.32,381.04,West Virginia,WV
OD142,Aditi,Oil & Masala,Masalas,Birmingham,9/18/2018,South,2483,0.14,223.47,Kentucky,KY
OD143,Surya,Food Grains,Flour,Minneapolis,9/18/2018,Midwest,1335,0.11,293.7,Illinois,IL
OD144,Sharon,"Eggs, Meat & Fish",Fish,Kansas City,9/18/2018,Midwest,765,0.24,252.45,Pennsylvania,PA
OD145,Vinne,"Eggs, Meat & Fish",Mutton,Little Rock,12/22/2018,South,2403,0.2,624.78,Connecticut,CT
OD146,Malik,Oil & Masala,Edible Oil & Ghee,New Orleans,09/07/2016,South,1551,0.13,573.87,Tennessee,TN
OD147,Ridhesh,Food Grains,Organic Staples,Boston,10/22/2015,Northeast,1564,0.27,187.68,Michigan,MI
OD148,Harish,Fruits & Veggies,Fresh Vegetables,Baltimore,12/05/2017,South,1125,0.33,292.5,Maryland,MD
OD149,Veronica,Beverages,Health Drinks,Atlanta,12/05/2017,South,768,0.1,184.32,Iowa,IA
OD150,Ravi,"Eggs, Meat & Fish",Fish,Anchorage,12/05/2017,West,1985,0.26,734.45,New Jersey,NJ
OD151,Muneer,Food Grains,Rice,Louisville,12/05/2017,South,2287,0.13,1029.15,New Hampshire,NH
OD152,Jackson,Snacks,Chocolates,Chicago,3/13/2017,Midwest,1016,0.34,335.28,Rhode Island,RI
OD153,Amy,Snacks,Cookies,Des Moines,3/13/2017,Midwest,852,0.26,76.68,Maine,ME
OD154,Ram,Food Grains,Organic Staples,Wilmington,5/31/2016,South,1233,0.28,234.27,North Carolina,NC
OD155,Jonas,Snacks,Noodles,Jackson,5/31/2016,South,2236,0.14,626.08,Oklahoma,OK
OD156,Ramesh,Fruits & Veggies,Fresh Vegetables,Indianapolis,5/31/2016,Midwest,2188,0.32,809.56,Washington,WA
OD157,Peer,Snacks,Cookies,Phoenix,5/28/2016,West,1114,0.2,456.74,South Carolina,SC
OD158,Komal,Oil & Masala,Edible Oil & Ghee,Denver,03/01/2015,West,1774,0.15,620.9,Hawaii,HI
OD159,Amy,Beverages,Soft Drinks,Los Angeles,11/20/2017,West,2364,0.21,1040.16,New York,NY
OD160,Amrish,Food Grains,Cereals,Portland,11/20/2017,Northeast,1487,0.11,148.7,Arizona,AZ
OD161,Yadav,Beverages,Soft Drinks,Wichita,05/11/2017,West,713,0.3,192.51,North Dakota,ND
OD162,Vinne,"Eggs, Meat & Fish",Fish,Miami,12/28/2016,South,737,0.2,280.06,Delaware,DE
OD163,Amrish,Snacks,Chocolates,Detroit,11/16/2017,Midwest,1004,0.26,341.36,Texas,TX
OD164,Hussain,Snacks,Cookies,Hartford,11/07/2017,Northeast,1516,0.32,121.28,Indiana,IN
OD165,Haseena,Food Grains,Flour,Honolulu,09/08/2015,West,1442,0.28,605.64,Massachusetts,MA
OD166,Sudha,Beverages,Health Drinks,Boise,09/08/2015,West,1690,0.33,422.5,Ohio,OH
OD167,Adavan,Snacks,Chocolates,Birmingham,09/08/2015,South,2021,0.13,343.57,South Dakota,SD
OD168,Aditi,"Eggs, Meat & Fish",Mutton,Minneapolis,09/08/2015,Midwest,2340,0.25,491.4,Utah,UT
OD169,Krithika,Oil & Masala,Spices,Kansas City,09/08/2015,Midwest,705,0.15,176.25,New Mexico,NM
OD170,Sharon,"Eggs, Meat & Fish",Chicken,Little Rock,09/08/2015,South,1215,0.2,60.75,Colorado,CO
OD171,Akash,Food Grains,Cereals,New Orleans,09/08/2015,South,552,0.25,237.36,Alabama,AL
OD172,Sabeela,Beverages,Health Drinks,Boston,08/05/2015,Northeast,1412,0.11,564.8,Nebraska,NE
OD173,Surya,Food Grains,Cereals,Baltimore,08/05/2015,South,791,0.32,150.29,Florida,FL
OD174,Alan,Fruits & Veggies,Organic Vegetables,Atlanta,08/05/2015,South,2476,0.33,420.92,California,CA
OD175,Aditi,Fruits & Veggies,Fresh Vegetables,Anchorage,9/14/2015,West,1747,0.27,471.69,Mississippi,MS
OD176,Shah,Fruits & Veggies,Organic Fruits,Louisville,9/14/2015,South,1973,0.15,848.39,Wisconsin,WI
OD177,Mathew,Oil & Masala,Spices,Chicago,4/21/2018,Midwest,2025,0.24,546.75,Alaska,AK
OD178,Rumaiza,Snacks,Noodles,Des Moines,11/21/2016,Midwest,1016,0.29,223.52,Kansas,KS
OD179,Arvind,Fruits & Veggies,Organic Fruits,Wilmington,11/21/2016,South,689,0.3,55.12,Montana,MT
OD180,Krithika,Food Grains,Flour,Jackson,12/15/2016,South,1322,0.16,343.72,Missouri,MO
OD181,Arvind,Snacks,Cookies,Indianapolis,12/05/2015,Midwest,1605,0.25,433.35,Idaho,ID
OD182,Ravi,Beverages,Health Drinks,Phoenix,12/05/2015,West,1718,0.2,171.8,Minnesota,MN
OD183,Jonas,Oil & Masala,Edible Oil & Ghee,Denver,11/19/2015,West,2177,0.35,783.72,Vermont,VT
OD184,Surya,Food Grains,Organic Staples,Los Angeles,11/19/2015,West,578,0.19,236.98,Louisiana,LA
OD185,Amrish,Food Grains,Cereals,Portland,11/19/2015,Northeast,782,0.28,195.5,Virginia,VA
OD186,Shah,Snacks,Noodles,Wichita,11/28/2017,West,1388,0.35,97.16,Wyoming,WY
OD187,Krithika,Bakery,Cakes,Miami,8/26/2015,South,2264,0.21,792.4,Georgia,GA
OD188,Anu,Beverages,Soft Drinks,Detroit,7/16/2017,Midwest,813,0.16,138.21,Nevada,NV
OD189,Yusuf,Fruits & Veggies,Organic Fruits,Hartford,7/16/2017,Northeast,2015,0.24,564.2,Oregon,OR
OD190,Rumaiza,Beverages,Soft Drinks,Honolulu,10/12/2016,West,1433,0.3,472.89,Arkansas,AR
OD191,Amrish,Fruits & Veggies,Organic Fruits,Boise,10/12/2016,West,2093,0.11,334.88,West Virginia,WV
OD192,Muneer,Fruits & Veggies,Fresh Vegetables,Birmingham,10/12/2016,South,2149,0.17,623.21,Kentucky,KY
OD193,Anu,Beverages,Health Drinks,Minneapolis,10/12/2016,Midwest,1972,0.32,414.12,Illinois,IL
OD194,Suresh,Oil & Masala,Masalas,Kansas City,10/12/2016,Midwest,2060,0.25,432.6,Pennsylvania,PA
OD195,Peer,"Eggs, Meat & Fish",Eggs,Little Rock,10/31/2016,South,1175,0.12,340.75,Connecticut,CT
OD196,Sundar,Oil & Masala,Edible Oil & Ghee,New Orleans,3/21/2015,South,1006,0.25,191.14,Tennessee,TN
OD197,Sudeep,Bakery,Breads & Buns,Boston,3/21/2015,Northeast,1409,0.16,380.43,Michigan,MI
OD198,Verma,Food Grains,Organic Staples,Baltimore,11/06/2018,South,914,0.34,338.18,Maryland,MD
OD199,Surya,"Eggs, Meat & Fish",Mutton,Atlanta,07/06/2018,South,1352,0.3,527.28,Iowa,IA
OD200,Sudha,"Eggs, Meat & Fish",Eggs,Anchorage,07/06/2018,West,682,0.25,170.5,New Jersey,NJ
OD201,James,Food Grains,Organic Staples,Louisville,6/24/2018,South,1738,0.22,243.32,New Hampshire,NH
OD202,Vidya,Bakery,Cakes,Chicago,08/03/2015,Midwest,2421,0.25,484.2,Rhode Island,RI
OD203,Jackson,Food Grains,Organic Staples,Des Moines,08/03/2015,Midwest,2245,0.24,404.1,Maine,ME
OD204,Akash,Oil & Masala,Masalas,Wilmington,12/17/2018,South,896,0.12,295.68,North Carolina,NC
OD205,Ram,Oil & Masala,Spices,Jackson,06/03/2018,South,1033,0.3,185.94,Oklahoma,OK
OD206,Vinne,"Eggs, Meat & Fish",Mutton,Indianapolis,12/09/2018,Midwest,1998,0.29,139.86,Washington,WA
OD207,Verma,"Eggs, Meat & Fish",Chicken,Phoenix,12/01/2018,West,1469,0.15,646.36,South Carolina,SC
OD208,Haseena,"Eggs, Meat & Fish",Eggs,Denver,12/01/2018,West,1899,0.25,360.81,Hawaii,HI
OD209,Esther,"Eggs, Meat & Fish",Mutton,Los Angeles,12/01/2018,West,2194,0.2,153.58,New York,NY
OD210,Amrish,Beverages,Soft Drinks,Portland,12/01/2018,Northeast,1942,0.29,504.92,Arizona,AZ
OD211,Hafiz,Fruits & Veggies,Organic Vegetables,Wichita,12/01/2018,West,609,0.3,207.06,North Dakota,ND
OD212,Verma,"Eggs, Meat & Fish",Chicken,Miami,02/09/2016,South,2353,0.26,423.54,Delaware,DE
OD213,Peer,Beverages,Soft Drinks,Detroit,01/02/2016,Midwest,1591,0.15,270.47,Texas,TX
OD214,Arutra,Food Grains,Rice,Hartford,01/02/2016,Northeast,1353,0.11,527.67,Indiana,IN
OD215,Jonas,Beverages,Health Drinks,Honolulu,01/02/2016,West,1020,0.21,81.6,Massachusetts,MA
OD216,Harish,Snacks,Noodles,Boise,01/02/2016,West,1362,0.31,177.06,Ohio,OH
OD217,Sundar,Food Grains,Rice,Birmingham,01/02/2016,South,1733,0.31,433.25,South Dakota,SD
OD218,Suresh,Oil & Masala,Masalas,Minneapolis,10/28/2017,Midwest,1949,0.17,97.45,Utah,UT
OD219,Sabeela,Fruits & Veggies,Organic Fruits,Kansas City,10/28/2017,Midwest,2368,0.34,876.16,New Mexico,NM
OD220,Arvind,Fruits & Veggies,Fresh Vegetables,Little Rock,12/24/2016,South,2110,0.25,485.3,Colorado,CO
OD221,Ramesh,Food Grains,Cereals,New Orleans,12/24/2016,South,1940,0.2,795.4,Alabama,AL
OD222,Willams,"Eggs, Meat & Fish",Fish,Boston,12/24/2016,Northeast,1557,0.2,638.37,Nebraska,NE
OD223,Ramesh,"Eggs, Meat & Fish",Fish,Baltimore,12/24/2016,South,1443,0.19,274.17,Florida,FL
OD224,Yadav,Beverages,Soft Drinks,Atlanta,12/24/2016,South,2024,0.11,910.8,California,CA
OD225,Krithika,"Eggs, Meat & Fish",Chicken,Anchorage,12/24/2016,West,2168,0.16,563.68,Mississippi,MS
OD226,Verma,"Eggs, Meat & Fish",Chicken,Louisville,08/09/2016,South,621,0.24,173.88,Wisconsin,WI
OD227,Komal,Food Grains,Organic Staples,Chicago,08/09/2016,Midwest,1230,0.17,295.2,Alaska,AK
OD228,Harish,Snacks,Cookies,Des Moines,08/09/2016,Midwest,560,0.34,240.8,Kansas,KS
OD229,Sudha,Oil & Masala,Edible Oil & Ghee,Wilmington,2/28/2016,South,1286,0.22,282.92,Montana,MT
OD230,Ramesh,Beverages,Health Drinks,Jackson,2/28/2016,South,1242,0.34,149.04,Missouri,MO
OD231,Arvind,Bakery,Breads & Buns,Indianapolis,9/13/2015,Midwest,717,0.21,43.02,Idaho,ID
OD232,Komal,Beverages,Soft Drinks,Phoenix,04/07/2018,West,1480,0.22,444,Minnesota,MN
OD233,Komal,Food Grains,Cereals,Denver,04/07/2018,West,826,0.18,247.8,Vermont,VT
OD234,Ramesh,Snacks,Cookies,Los Angeles,04/07/2018,West,1846,0.22,276.9,Louisiana,LA
OD235,Mathew,Beverages,Soft Drinks,Portland,04/07/2018,Northeast,2045,0.12,552.15,Virginia,VA
OD236,Vince,Fruits & Veggies,Organic Fruits,Wichita,04/07/2018,West,1983,0.17,773.37,Wyoming,WY
OD237,Shah,Bakery,Cakes,Miami,11/12/2018,South,650,0.16,247,Georgia,GA
OD238,Ravi,Bakery,Breads & Buns,Detroit,06/04/2017,Midwest,2163,0.31,216.3,Nevada,NV
OD239,Adavan,Fruits & Veggies,Organic Vegetables,Hartford,06/04/2017,Northeast,1481,0.15,518.35,Oregon,OR
OD240,Arvind,Snacks,Cookies,Honolulu,06/04/2017,West,2492,0.14,124.6,Arkansas,AR
OD241,Ramesh,Bakery,Cakes,Boise,06/04/2017,West,962,0.33,423.28,West Virginia,WV
